2026-02-18 20:46:13,090 | INFO     | ballsim.simulation | Starting simulation: 8s at 60fps (480 frames)
2026-02-18 20:46:13,091 | INFO     | ballsim.simulation | Physics: 4 substeps/frame (dt=0.004167s)
2026-02-18 20:46:21,253 | INFO     | ballsim.simulation | Simulation complete. Encoding video...
2026-02-18 20:46:21,364 | INFO     | ballsim.simulation | Video saved to: output/multi_ball_20260218_204612.mp4
2026-02-18 20:46:55,214 | INFO     | ballsim.factory | Creating simulation from: config\phase2_test.yaml
2026-02-18 20:46:55,214 | INFO     | ballsim.factory | Created 3 ball(s)
2026-02-18 20:46:55,215 | INFO     | ballsim.factory | Created 4 boundary(ies)
2026-02-18 20:46:55,305 | INFO     | ballsim.simulation | Starting simulation: 8s at 60fps (480 frames)
2026-02-18 20:46:55,305 | INFO     | ballsim.simulation | Physics: 4 substeps/frame (dt=0.004167s)
2026-02-18 20:47:03,517 | INFO     | ballsim.simulation | Simulation complete. Encoding video...
2026-02-18 20:47:03,628 | INFO     | ballsim.simulation | Video saved to: output/multi_ball_20260218_204655.mp4
2026-02-18 20:47:34,519 | INFO     | ballsim.factory | Creating simulation from: config\phase2_test.yaml
2026-02-18 20:47:34,519 | INFO     | ballsim.factory | Created 3 ball(s)
2026-02-18 20:47:34,520 | INFO     | ballsim.factory | Created 4 boundary(ies)
2026-02-18 20:47:34,612 | INFO     | ballsim.simulation | Starting simulation: 8s at 60fps (480 frames)
2026-02-18 20:47:34,612 | INFO     | ballsim.simulation | Physics: 4 substeps/frame (dt=0.004167s)
2026-02-18 20:47:45,206 | INFO     | ballsim.simulation | Simulation complete. Encoding video...
2026-02-18 20:47:45,434 | INFO     | ballsim.simulation | Video saved to: output/multi_ball_20260218_204734.mp4
2026-02-18 20:52:43,621 | INFO     | ballsim.factory | Creating simulation from: config\phase2_test.yaml
2026-02-18 20:52:43,622 | INFO     | ballsim.factory | Created 3 ball(s)
2026-02-18 20:52:43,622 | INFO     | ballsim.factory | Created 4 boundary(ies)
2026-02-18 20:52:43,781 | INFO     | ballsim.simulation | Starting simulation: 8s at 60fps (480 frames)
